type,delta1980,delta1990,delta2000,delta2010,delta2015
男性・全体,.27417403,.22628526,.23416348,.21895784,.21189289
男性15-29歳,.24981035,.19029236,.19508846,.17223518,.1586125
男性30-44歳,.28209993,.23716404,.23372327,.22070968,.2160657
男性45-59歳,.32938412,.30089325,.30772793,.2689327,.25754285
男性60歳以上,.30872628,.282141,.33519086,.31527033,.31915793
男性・未婚,.24647094,.18993966,.19581853,.19070512,.1754144
男性・既婚,.28412297,.23994152,.24188852,.21859974,.21617848
男性・既婚・子ども（0-15歳）同居なし,.28302744,.22920085,.22609128,.21138459,.21171451
男性・既婚・子ども（0-5歳）同居あり,.2717219,.23820125,.24330801,.21676032,.21748619
男性・既婚・子ども（6-15歳）同居あり,.32052752,.27532116,.29588845,.26783887,.24097414
男性・未婚・高卒以下,.27380264,.22713329,.24334031,.22667772,
男性・既婚・高卒以下,.31788304,.29026315,.31245741,.27656105,
男性・未婚・大卒以上,.18520057,.13500644,.15669093,.17261356,
男性・既婚・大卒以上,.24456657,.20579535,.21312238,.20634377,
